customer_id,age,income_ugx,credit_score,loan_amount_ugx,loan_type,loan_purpose,loan_term_months,interest_rate_annual,monthly_payment_ugx,total_repayment_ugx,total_interest_ugx,payments_made,payments_missed,employment_status,debt_to_income_ratio,existing_debt_ugx,collateral,payment_method,region,district,season,application_date,payment_history,repayment_schedule,status
53,38,1982930,565,6550463,agricultural,Livestock purchase,21,30.0,404736,8499456,1948993,3,21,Market Vendor,40.2,14099923,Land Title,SACCO Deduction,Central,Butambala,Harvest Season (Sep-Nov),2024-08-24,"Defaulted after 3 payments, 21 missed payments total","Paid months 1-3, then missed payments at months 1, 2, 3...20, 21",defaulted
54,21,21043289,668,14468490,personal,Medical expenses,9,20.1,1745228,15707052,1238562,9,0,Healthcare Worker,19.3,83753650,SACCO Shares,SACCO Deduction,Western,Rukungiri,N/A,2024-04-26,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
55,42,1673307,702,6369840,personal,Family emergency,9,15.6,754556,6791004,421164,0,0,Boda Boda Rider,68.2,13928405,Mobile Money History,Mobile Money,Northern,Pakwach,N/A,2023-09-16,"Application rejected, no payments made","Application rejected, no payments made",rejected
56,40,823808,694,41499386,mortgage,Rental property,216,18.6,667310,144138960,102639574,0,0,Construction Worker,100.9,5900306,Livestock,Salary Deduction,Northern,Lira,N/A,2024-10-02,"Application rejected, no payments made","Application rejected, no payments made",rejected
57,48,6707570,552,340210827,mortgage,Home renovation,84,25.8,8786071,738029964,397819137,0,0,Teacher,149.6,44962185,SACCO Shares,Bank Transfer,Central,Kampala,N/A,2024-07-18,"Application rejected, no payments made","Application rejected, no payments made",rejected
58,20,2890947,595,3416227,personal,Home repairs,24,28.6,188558,4525392,1109165,0,0,Farmer,13.2,6943908,Business Inventory,SACCO Deduction,Western,Buhweju,N/A,2024-04-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
59,55,599869,646,130159139,mortgage,Commercial building,156,23.5,2678974,417919944,287760805,0,0,SACCO Member,472.5,5597672,Group Guarantee,Cash at Branch,Western,Bundibugyo,N/A,2023-10-01,"Application rejected, no payments made","Application rejected, no payments made",rejected
60,20,1626116,698,435608794,mortgage,Rental property,168,18.0,7117631,1195762008,760153214,0,0,Construction Worker,443.2,3189560,Salary Assignment,Salary Deduction,Northern,Amolatar,N/A,2024-04-11,"Application rejected, no payments made","Application rejected, no payments made",rejected
61,40,10851040,581,542582613,mortgage,House construction,132,27.4,13051840,1722842880,1180260267,0,0,Farmer,138.1,69534457,None,SACCO Deduction,Western,Ntoroko,N/A,2024-05-22,"Application rejected, no payments made","Application rejected, no payments made",rejected
62,22,748121,605,792281,personal,Family emergency,24,24.1,41928,1006272,213991,0,0,Construction Worker,22.4,4512254,Savings Account,Mobile Money,Eastern,Busia,N/A,2024-09-30,"Application rejected, no payments made","Application rejected, no payments made",rejected
63,64,1168433,531,3824779,agricultural,Harvest labor,21,35.8,247722,5202162,1377383,0,0,Construction Worker,53.7,13687246,Land Title,Salary Deduction,Northern,Kwania,Planting Season (Mar-May),2023-08-21,"Application rejected, no payments made","Application rejected, no payments made",rejected
64,67,503225,524,600504,personal,Home repairs,24,34.2,34888,837312,236808,0,0,Security Guard,37.0,5455506,Land Title,Cash at Branch,Central,Buikwe,N/A,2024-06-27,"Application rejected, no payments made","Application rejected, no payments made",rejected
65,46,3255213,685,47412727,business,Restaurant equipment,12,22.5,4448982,53387784,5975057,0,0,Self-Employed,161.5,29048965,SACCO Shares,Bank Transfer,Eastern,Budaka,N/A,2023-09-18,"Application rejected, no payments made","Application rejected, no payments made",rejected
66,49,1019707,728,6194065,education,Vocational training,30,16.2,252465,7573950,1379885,30,0,SACCO Member,27.0,813428,Business Inventory,SACCO Deduction,Western,Ibanda,N/A,2023-07-23,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
67,44,5894672,614,22234823,education,Boarding fees,36,23.2,863023,31068828,8834005,0,0,Farmer,44.9,64303524,Business Inventory,Mobile Money,Central,Kalangala,N/A,2023-02-20,"Application rejected, no payments made","Application rejected, no payments made",rejected
68,58,11986359,700,35630218,agricultural,Livestock purchase,12,16.9,3247955,38975460,3345242,12,0,SACCO Member,32.8,24613095,Savings Account,Mobile Money,Western,Kyegegwa,Planting Season (Mar-May),2024-01-09,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
69,66,709445,648,2039110,education,Vocational training,18,22.5,134523,2421414,382304,0,0,Trader,38.7,5051377,Mobile Money History,Cash at Branch,Western,Buhweju,N/A,2024-05-08,"Application rejected, no payments made","Application rejected, no payments made",rejected
70,38,7841349,568,4552330,personal,Family emergency,24,26.6,246635,5919240,1366910,24,0,Security Guard,35.4,90943985,Mobile Money History,Cash at Branch,Northern,Nebbi,N/A,2024-07-03,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
71,27,3599584,648,5435283,education,Boarding fees,36,24.7,215244,7748784,2313501,36,0,Healthcare Worker,17.8,15274085,Livestock,Mobile Money,Western,Kamwenge,N/A,2023-11-06,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
72,61,1293133,743,4779000,personal,Funeral costs,15,14.5,350261,5253915,474915,0,0,Civil Servant,32.6,2550472,None,Cash at Branch,Eastern,Buhweju,N/A,2024-03-05,"Application rejected, no payments made","Application rejected, no payments made",rejected
73,57,6296232,617,19567877,education,Vocational training,12,24.5,1855069,22260828,2692951,0,0,SACCO Member,57.6,63854956,Salary Assignment,Bank Transfer,Western,Kabale,N/A,2023-04-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
74,63,2352299,745,5804671,personal,Home repairs,21,14.8,315443,6624303,819632,10,11,Trader,17.9,3793101,Livestock,Salary Deduction,Northern,Arua,N/A,2024-08-01,"Defaulted after 10 payments, 11 missed payments total","Paid months 1-10, then missed payments at months 1, 2, 3...20, 21",defaulted
75,33,981128,410,64692676,mortgage,House construction,96,30.0,1784005,171264480,106571804,0,0,Farmer,188.2,2258404,Savings Account,Bank Transfer,Central,Nakasongola,N/A,2023-04-23,"Application rejected, no payments made","Application rejected, no payments made",rejected
76,62,6105645,685,45622895,agricultural,Irrigation equipment,12,21.3,4254692,51056304,5433409,0,0,Civil Servant,73.8,8936637,Group Guarantee,Salary Deduction,Central,Mpigi,Planting Season (Mar-May),2024-04-04,"Application rejected, no payments made","Application rejected, no payments made",rejected
77,69,2245007,626,11442283,education,Exam registration,24,22.2,594735,14273640,2831357,0,0,Private Sector,50.0,18990180,Land Title,Mobile Money,Western,Rukiga,N/A,2024-03-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
78,63,865108,596,2983938,personal,Wedding costs,18,26.6,202847,3651246,667308,0,0,Private Sector,27.2,1179029,SACCO Shares,Salary Deduction,Western,Rwampara,N/A,2023-04-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
79,70,10492130,627,524634683,mortgage,Land purchase,198,21.7,9768148,1934093304,1409458621,0,0,Boda Boda Rider,134.5,156541836,None,SACCO Deduction,Northern,Alebtong,N/A,2023-11-17,"Application rejected, no payments made","Application rejected, no payments made",rejected
80,47,1534542,460,3350661,business,Transport business,48,31.5,123585,5932080,2581419,0,0,Trader,11.2,1729136,Salary Assignment,Bank Transfer,Northern,Kitgum,N/A,2024-07-29,"Application rejected, no payments made","Application rejected, no payments made",rejected
81,41,4223056,602,11762769,education,Vocational training,6,24.4,2102321,12613926,851157,0,0,Trader,62.7,19602284,None,Bank Transfer,Eastern,Hoima,N/A,2024-07-23,"Application rejected, no payments made","Application rejected, no payments made",rejected
82,43,692099,648,8473873,business,Equipment purchase,42,25.2,305628,12836376,4362503,0,0,Healthcare Worker,63.3,4780253,Business Inventory,Mobile Money,Central,Butambala,N/A,2023-12-14,"Application rejected, no payments made","Application rejected, no payments made",rejected
83,42,175105,738,385084,education,Vocational training,12,17.0,35121,421452,36368,12,0,Healthcare Worker,44.4,1531519,Livestock,SACCO Deduction,Central,Luwero,N/A,2023-11-16,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
84,66,2190329,578,2400262,personal,Wedding costs,3,26.6,835817,2507451,107189,0,0,Healthcare Worker,53.6,12179419,None,SACCO Deduction,Central,Nakasongola,N/A,2024-02-29,"Application rejected, no payments made","Application rejected, no payments made",rejected
85,37,2074468,555,3934889,agricultural,Seed and fertilizer,21,29.1,241333,5067993,1133104,0,0,Private Sector,32.0,15200978,Business Inventory,Mobile Money,Northern,Oyam,Growing Season (Jun-Aug),2023-07-29,"Application rejected, no payments made","Application rejected, no payments made",rejected
86,39,16604835,579,27614794,agricultural,Harvest labor,15,28.5,2209891,33148365,5533571,0,0,Security Guard,29.9,99108015,Savings Account,SACCO Deduction,Northern,Agago,Growing Season (Jun-Aug),2023-03-15,"Application rejected, no payments made","Application rejected, no payments made",rejected
87,45,5354857,693,3983745,personal,Funeral costs,24,21.4,205491,4931784,948039,5,18,Student,32.6,55495943,Group Guarantee,Cash at Branch,Northern,Koboko,N/A,2024-04-16,"Defaulted after 5 payments, 18 missed payments total","Paid months 1-5, then missed payments at months 1, 2, 3...22, 23",defaulted
88,64,14957148,646,11133293,personal,Funeral costs,12,24.4,1054916,12658992,1525699,1,13,Student,33.3,141065735,Salary Assignment,Bank Transfer,Northern,Omoro,N/A,2023-07-18,"Defaulted after 1 payments, 13 missed payments total","Paid months 1-1, then missed payments at months 1, 2, 3...11, 12",defaulted
89,69,2353592,577,8156731,business,Restaurant equipment,24,27.6,446050,10705200,2548469,0,0,Construction Worker,26.2,6128724,Vehicle Logbook,Bank Transfer,Eastern,Namisindwa,N/A,2024-05-20,"Application rejected, no payments made","Application rejected, no payments made",rejected
90,49,11374311,661,26733078,education,School fees,36,19.3,983988,35423568,8690490,36,0,Healthcare Worker,19.6,45017991,Business Inventory,Cash at Branch,Northern,Kole,N/A,2023-11-14,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
91,49,2738614,627,5768461,agricultural,Livestock purchase,6,26.5,1037071,6222426,453965,0,0,Trader,56.5,18330351,Mobile Money History,Mobile Money,Northern,Otuke,Dry Season (Dec-Feb),2024-10-29,"Application rejected, no payments made","Application rejected, no payments made",rejected
92,32,1997466,697,19111979,business,Stock purchase,6,19.4,3367975,20207850,1095871,0,0,NGO Worker,194.1,18318947,Vehicle Logbook,Salary Deduction,Western,Bunyangabu,N/A,2023-09-11,"Application rejected, no payments made","Application rejected, no payments made",rejected
93,65,1921534,563,138689811,mortgage,Home renovation,174,25.5,3025098,526367052,387677241,0,0,NGO Worker,183.4,17991236,Salary Assignment,Salary Deduction,Northern,Dokolo,N/A,2023-03-09,"Application rejected, no payments made","Application rejected, no payments made",rejected
94,41,805341,593,3601784,agricultural,Irrigation equipment,9,28.3,448854,4039686,437902,0,0,Teacher,73.4,5130566,Group Guarantee,Bank Transfer,Western,Isingiro,Planting Season (Mar-May),2024-10-20,"Application rejected, no payments made","Application rejected, no payments made",rejected
95,70,1268002,588,236816066,mortgage,Home renovation,72,26.7,6628397,477244584,240428518,0,0,Boda Boda Rider,546.5,10832042,Business Inventory,Bank Transfer,Central,Buvuma,N/A,2024-05-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
96,32,1288495,502,1068462,personal,Home repairs,15,33.0,87891,1318365,249903,0,0,Self-Employed,28.4,10015083,SACCO Shares,Bank Transfer,Central,Buikwe,N/A,2023-06-16,"Application rejected, no payments made","Application rejected, no payments made",rejected
97,31,11468437,643,25869023,business,Shop expansion,48,24.6,851981,40895088,15026065,0,0,Healthcare Worker,24.3,69811430,SACCO Shares,Cash at Branch,Eastern,Pallisa,N/A,2024-06-30,"Application rejected, no payments made","Application rejected, no payments made",rejected
98,35,1983597,640,23107292,business,Shop expansion,36,26.9,942121,33916356,10809064,0,0,SACCO Member,61.3,9890499,Group Guarantee,Salary Deduction,Western,Bundibugyo,N/A,2023-07-24,"Application rejected, no payments made","Application rejected, no payments made",rejected
99,58,662147,620,2656985,education,University tuition,36,25.7,106627,3838572,1181587,36,0,Civil Servant,32.7,3956836,Vehicle Logbook,Bank Transfer,Central,Kayunga,N/A,2024-03-23,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
100,25,19450359,601,25335907,education,Boarding fees,36,22.1,968901,34880436,9544529,3,35,Construction Worker,6.9,13673425,Group Guarantee,Mobile Money,Western,Kisoro,N/A,2023-12-10,"Defaulted after 3 payments, 35 missed payments total","Paid months 1-3, then missed payments at months 1, 2, 3...35, 36",defaulted
101,70,440163,506,1699697,education,Books and supplies,18,32.8,120813,2174634,474937,0,0,Teacher,43.9,2600193,Business Inventory,Bank Transfer,Central,Kampala,N/A,2024-09-15,"Application rejected, no payments made","Application rejected, no payments made",rejected
102,53,1604192,586,2405294,agricultural,Livestock purchase,6,29.0,435465,2612790,207496,0,0,Farmer,54.8,15990019,Vehicle Logbook,SACCO Deduction,Northern,Arua,Planting Season (Mar-May),2023-09-05,"Application rejected, no payments made","Application rejected, no payments made",rejected
103,65,850089,592,107080421,mortgage,Commercial building,126,26.3,2510292,316296792,209216371,0,0,Civil Servant,299.7,1337561,Salary Assignment,Mobile Money,Central,Luwero,N/A,2024-06-03,"Application rejected, no payments made","Application rejected, no payments made",rejected
104,70,12682306,555,17005939,education,Boarding fees,6,27.5,3065951,18395706,1389767,0,0,Student,42.8,85218031,Vehicle Logbook,Cash at Branch,Central,Buvuma,N/A,2024-10-05,"Application rejected, no payments made","Application rejected, no payments made",rejected
105,26,11167195,607,12654853,agricultural,Harvest labor,9,25.4,1559060,14031540,1376687,3,4,Security Guard,25.2,45367478,None,SACCO Deduction,Eastern,Bukwo,Growing Season (Jun-Aug),2023-07-26,"Defaulted after 3 payments, 4 missed payments total","Paid months 1-3, then missed payments at months 1, 2, 3...6, 7",defaulted
106,22,5351532,652,41793705,agricultural,Irrigation equipment,21,21.9,2413732,50688372,8894667,0,0,Trader,46.4,2586899,Salary Assignment,Mobile Money,Eastern,Kiruhura,Harvest Season (Sep-Nov),2024-02-14,"Application rejected, no payments made","Application rejected, no payments made",rejected
